Rank,Name,Ticker,Market cap,Price,Circulating supply,id
1,Bitcoin,BTC,803744511638.35,42412.43,18950681,bitcoin
2,Ethereum,ETH,365288302066.81,3057.48,119473804,ethereum
3,Tether,USDT,77961684799.0,1.0007,77908751039,tether
4,BNB,BNB,69274003460.63,419.55,165116761,binancecoin
5,USD Coin,USDC,51054224335.1,1.0004,51036025522,usd-coin
6,Cardano,ADA,38433324420.14,1.1445,33579503408,cardano
7,Solana,SOL,36532195892.09,115.3,316845383,solana
8,XRP,XRP,32700536071.05,0.6836,47832461678,ripple
9,Terra,LUNA,22492358593.97,56.1,400917013,terra-luna-2
10,Polkadot,DOT,21631280299.89,21.9,987579315,polkadot
11,Dogecoin,DOGE,20400845319.46,0.1538,132670764300,dogecoin
12,Avalanche,AVAX,19306314558.7,78.76,245136941,avalanche-2
13,Binance USD,BUSD,16520648299.56,0.9999,16522327497,binance-usd
14,Shiba Inu,SHIB,15596217120.71,2.841e-05,549063278876302,shiba-inu
15,Polygon,MATIC,12981893615.0,1.74,7461070291,matic-network
16,Crypto.com Coin,CRO,11661744341.53,0.4616,25263013692,crypto-com-chain
17,TerraUSD,UST,11299508167.99,1.0022,11274253969,terrausd-wormhole
18,Wrapped Bitcoin,WBTC,11067758773.96,42249.07,261965,wrapped-bitcoin
19,Dai,DAI,9769608817.82,1.0006,9763558731,dai
20,Cosmos,ATOM,8949380755.01,31.25,286370297,cosmos
21,Litecoin,LTC,8867877410.73,127.45,69581719,litecoin
22,NEAR Protocol,NEAR,8539028615.63,13.5,632632475,near
23,Chainlink,LINK,8424596590.74,18.04,467009550,chainlink
24,Uniswap,UNI,7351082525.5,11.65,631207408,uniswap
25,TRON,TRX,6739624754.35,0.06621,101798027933,tron
26,Algorand,ALGO,6719212554.96,1.0239,6562665575,algorand
27,FTX Token,FTT,6440721933.15,46.62,138147721,ftx-token
28,Bitcoin Cash,BCH,6167371486.12,325.01,18975981,bitcoin-cash
29,Decentraland,MANA,6047605202.47,3.3008,1832144398,decentraland
30,Stellar,XLM,5562928841.31,0.2237,24869672292,stellar
31,Fantom,FTM,5499718795.24,2.161,2545006273,fantom
32,UNUS SED LEO,LEO,4860340124.65,5.0949,953954130,leo-token
33,Internet Computer,ICP,4680527998.06,23.38,200219816,internet-computer
34,Hedera,HBAR,4668625008.76,0.258,18092792421,hedera-hashgraph
35,Bitcoin BEP2,BTCB,4449748973.84,42318.49,105149,binance-bitcoin
36,The Sandbox,SAND,4296628999.76,4.6447,925054385,the-sandbox
37,Axie Infinity,AXS,4167356867.44,68.42,60907500,axie-infinity
38,Ethereum Classic,ETC,3969038729.81,29.89,132778720,ethereum-classic
39,VeChain,VET,3925196620.5,0.06103,64315576989,vechain
40,Filecoin,FIL,3540103102.57,22.45,157704138,filecoin
41,Theta Network,THETA,3501721742.86,3.5017,1000000000,theta-token
42,Tezos,XTZ,3437164914.73,3.9195,876945690,tezos
43,Elrond,EGLD,3438197391.59,166.12,20697180,elrond-erd-2
44,Helium,HNT,3333059801.73,30.27,110096288,helium
45,Monero,XMR,3136449107.7,173.53,18074828,monero
46,Klaytn,KLAY,3098371174.79,1.1778,2630547174,klay-token
47,IOTA,MIOTA,2656375491.99,0.9557,2779530283,iota
48,EOS,EOS,2488761204.04,2.54,979826164,eos
49,Harmony,ONE,2479514990.4,0.212,11694716754,harmony
50,Flow,FLOW,2368479397.47,7.4461,318082398,flow
51,Aave,AAVE,2343449168.42,173.48,13508412,aave
52,The Graph,GRT,2229437721.65,0.4728,4715735200,the-graph
53,PancakeSwap,CAKE,2192805712.99,8.2505,265779086,pancakeswap-token
54,Gala,GALA,2235568098.12,0.3204,6977205436,gala
55,Maker,MKR,2196657858.28,2246.92,977631,maker
56,Stacks,STX,2177452402.89,1.6785,1297227069,blockstack
57,BitTorrent (New),BTT,2114555486.33,2.27e-06,932497500000000,bittorrent
58,Bitcoin SV,BSV,1872238068.94,98.68,18972358,bsv
59,Enjin Coin,ENJ,1763071734.27,2.0628,854696206,enjincoin
60,Zcash,ZEC,1700786016.66,124.24,13689181,zcash
61,Kusama,KSM,1658585516.29,195.82,8470098,kusama
62,Quant,QNT,1636783429.15,135.58,12072738,quant-network
63,eCash,XEC,1628755073.9,8.585e-05,18972104673313,ecash
64,THORChain,RUNE,1609358382.19,4.8667,330688061,thorchain
65,KuCoin Token,KCS,1604905236.07,20.03,80118638,kucoin-shares
66,Neo,NEO,1591055356.09,22.56,70538831,neo
67,Huobi Token,HT,1569621626.89,10.01,156741729,huobi-token
68,TrueUSD,TUSD,1520799373.64,0.9996,1521339119,true-usd
69,Curve DAO Token,CRV,1492643938.56,3.3778,441900527,curve-dao-token
70,Loopring,LRC,1472473598.94,1.1077,1329247433,loopring
71,Basic Attention Token,BAT,1408683510.14,0.9424,1494840445,basic-attention-token
72,Chiliz,CHZ,1367986417.22,0.2297,5955069766,chiliz
73,Celo,CELO,1371862243.01,3.3666,407486151,celo
74,Amp,AMP,1354677691.52,0.03208,42227702186,amp-token
75,OKB,OKB,1332937940.86,22.22,60000000,okb
76,Convex Finance,CVX,1296217247.85,26.44,49024168,convex-finance
77,Oasis Network,ROSE,1275088223.95,0.365,3493014306,rose
78,Arweave,AR,1269850918.56,38.03,33394701,arweave
79,Nexo,NEXO,1229683999.81,2.1959,560000011,nexo
80,BORA,BORA,1156855956.84,1.3432,861250000,bora
81,Theta Fuel,TFUEL,1167332355.15,0.2202,5301214400,theta-fuel
82,Dash,DASH,1147138850.33,108.56,10567184,dash
83,Waves,WAVES,1133453994.44,10.55,107424280,waves
84,Mina,MINA,1121828939.16,3.0272,370580954,mina-protocol
85,Kadena,KDA,1095698221.3,6.5292,167816066,kadena
86,Symbol,XYM,1060187806.96,0.1899,5582460005,symbol
87,NEM,XEM,1010230336.42,0.1122,8999999999,nem
88,Pax Dollar,USDP,943043077.79,0.9973,945642940,usdp
89,Decred,DCR,930394315.17,67.7,13743521,decred
90,Compound,COMP,920691126.42,140.56,6550245,compound-coin
91,yearn.finance,YFI,901715107.95,24611.66,36638,yearn-finance
92,Holo,HOT,889102418.46,0.005134,173174228547,holotoken
93,Secret,SCRT,876910709.65,5.8533,149815729,secret
94,1inch Network,1INCH,870779601.28,1.8599,468177291,1inch
95,IoTeX,IOTX,795689216.79,0.0834,9540779324,iotex
96,Ravencoin,RVN,791459950.44,0.07557,10473290000,ravencoin
97,Render Token,RNDR,769022621.18,3.6012,213544667,render-token
98,XDC Network,XDC,750366679.97,0.06098,12305012699,xdce-crowd-sale
99,WAX,WAXP,738974477.81,0.3834,1927180684,wax
100,OMG Network,OMG,725151399.84,5.1706,140245398,omisego
101,Ankr,ANKR,718184163.49,0.08798,8162899378,ankr
102,Celsius,CEL,711099828.99,2.977,238863520,celsius-degree-token
103,Qtum,QTUM,704921697.93,7.1205,98998783,qtum
104,renBTC,RENBTC,676681144.58,42187.38,16040,renbtc
105,Audius,AUDIO,669783396.26,1.101,608321992,audius
106,APENFT,NFT,670862766.71,2.42e-06,277080562500000,apenft
107,Bancor,BNT,665022519.45,2.7218,244331944,bancor
108,Synthetix,SNX,665369728.58,5.7938,114841533,havven
109,Livepeer,LPT,658691983.4,31.12,21164655,livepeer
110,Zilliqa,ZIL,659459996.74,0.05333,12365251468,zilliqa
111,Immutable X,IMX,637748796.48,2.8258,225684001,immutable-x
112,SwissBorg,CHSB,615152876.63,0.6152,1000000000,swissborg
113,Gnosis,GNO,614373098.47,329.42,1865027,gnosis
114,ICON,ICX,608070951.95,0.8615,705815953,icon
115,SushiSwap,SUSHI,610104363.0,4.7947,127244443,sushi
116,Velas,VLX,604195941.17,0.2676,2258156682,velas
117,WOO Network,WOO,601044257.82,0.6769,887958704,woo-network
118,Bitcoin Gold,BTG,597062031.39,34.09,17513924,bitcoin-gold
119,Rally,RLY,587776433.31,0.2435,2413718241,rally-2
120,Siacoin,SC,581803806.81,0.01161,50132632992,shibchain
121,Kava,KAVA,574032255.35,3.7735,152123815,kava
122,Spell Token,SPELL,574677601.81,0.006994,82161894651,spell-token
123,Horizen,ZEN,570632113.78,47.4,12038075,zencash
124,Voyager Token,VGX,563292767.94,2.0227,278482214,ethos
125,GateToken,GT,559310602.15,7.1535,78187409,gatechain-token
126,0x,ZRX,558595613.34,0.6591,847496055,0x
127,Dogelon Mars,ELON,549270010.92,9.9e-07,553913997998275,dogelon-mars
128,Syscoin,SYS,539745391.35,0.8528,632929197,syscoin
129,IOST,IOST,519407010.48,0.0287,18099719631,iostoken
130,Storj,STORJ,515601666.87,1.3443,383543681,storj
131,Moonbeam,GLMR,499589312.19,6.1452,81297306,moonbeam
132,Ontology,ONT,498947958.42,0.5701,875249524,ontology
